Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2023-01-01,34.43,0.0,0.0,,,,,,,2.55,0.0,0.0,,,,,,,3
2023-01-02,20.94,0.0,0.0,,,,,,,1.55,0.0,0.0,,,,,,,4
2023-01-03,15.55,10.65,8.1,,,,,,,1.15,1.09,1.22,,,,,,,2
2023-01-04,13.61,8.58,7.12,,,,,,,1.01,0.88,1.08,,,,,,,3
2023-01-05,15.6,8.73,8.77,,,,,,,1.15,0.89,1.32,,,,,,,3
2023-01-06,16.41,10.35,8.46,,,,,,,1.21,1.06,1.28,,,,,,,3
2023-01-07,47.09,0.0,0.0,,,,,,,3.48,0.0,0.0,,,,,,,-1
2023-01-08,54.81,0.0,0.0,,,,,,,4.06,0.0,0.0,,,,,,,-4
2023-01-09,29.98,12.15,6.85,,,,,,,2.22,1.24,1.03,,,,,,,-1
2023-01-10,17.02,8.78,6.14,,,,,,,1.26,0.9,0.93,,,,,,,-1
2023-01-11,22.02,8.88,8.12,,,,,,,1.63,0.91,1.23,,,,,,,-2
2023-01-12,15.12,9.06,8.03,,,,,,,1.12,0.92,1.21,,,,,,,2
2023-01-13,19.47,15.55,11.97,,,,,,,1.44,1.59,1.81,,,,,,,-5
2023-01-14,48.23,0.0,0.0,,,,,,,3.57,0.0,0.0,,,,,,,-7
2023-01-15,53.82,0.0,0.0,,,,,,,3.98,0.0,0.0,,,,,,,-6
2023-01-16,31.45,7.39,8.18,,,,,,,2.33,0.75,1.24,,,,,,,-3
2023-01-17,17.51,14.42,8.32,,,,,,,1.3,1.47,1.26,,,,,,,2
2023-01-18,17.85,10.16,6.72,,,,,,,1.32,1.04,1.01,,,,,,,3
2023-01-19,14.79,9.25,7.84,,,,,,,1.09,0.94,1.18,,,,,,,2
2023-01-20,12.86,6.61,7.7,,,,,,,0.95,0.67,1.16,,,,,,,1
2023-01-21,53.14,0.0,0.0,,,,,,,3.93,0.0,0.0,,,,,,,-1
2023-01-22,74.36,0.0,0.0,,,,,,,5.5,0.0,0.0,,,,,,,-1
2023-01-23,29.88,15.51,10.96,,,,,,,2.21,1.58,1.65,,,,,,,-1
2023-01-24,21.62,9.77,8.6,,,,,,,1.6,1.0,1.3,,,,,,,1
2023-01-25,17.06,13.62,11.31,,,,,,,1.26,1.39,1.71,,,,,,,0
2023-01-26,14.8,9.91,9.56,,,,,,,1.1,1.01,1.44,,,,,,,-1
2023-01-27,21.71,11.54,13.63,,,,,,,1.61,1.18,2.06,,,,,,,-1
2023-01-28,39.57,0.0,0.0,,,,,,,2.93,0.0,0.0,,,,,,,0
2023-01-29,62.78,0.0,0.0,,,,,,,4.65,0.0,0.0,,,,,,,-4
2023-01-30,29.64,9.86,7.01,,,,,,,2.19,1.01,1.06,,,,,,,-6
2023-01-31,19.19,9.16,13.4,,,,,,,1.42,0.93,2.02,,,,,,,-10
2023-02-01,20.32,15.3,10.96,,,,,,,1.5,1.56,1.65,,,,,,,-10
2023-02-02,21.85,13.57,12.65,,,,,,,1.62,1.38,1.91,,,,,,,-5
2023-02-03,27.06,23.84,21.77,,,,,,,2.0,2.43,3.29,,,,,,,-16
2023-02-04,89.25,0.0,0.0,,,,,,,6.6,0.0,0.0,,,,,,,-12
2023-02-05,51.47,0.0,0.0,,,,,,,3.81,0.0,0.0,,,,,,,1
2023-02-06,32.52,14.56,7.92,,,,,,,2.41,1.49,1.2,,,,,,,-1
2023-02-07,24.35,13.82,16.47,,,,,,,1.8,1.41,2.49,,,,,,,3
2023-02-08,19.22,10.7,7.32,,,,,,,1.42,1.09,1.11,,,,,,,4
2023-02-09,29.54,15.64,8.46,,,,,,,2.19,1.6,1.28,,,,,,,3
2023-02-10,16.83,17.63,9.67,,,,,,,1.25,1.8,1.46,,,,,,,1
2023-02-11,66.8,0.0,0.0,,,,,,,4.94,0.0,0.0,,,,,,,-1
2023-02-12,78.14,0.0,0.0,,,,,,,5.78,0.0,0.0,,,,,,,2
2023-02-13,26.06,14.27,10.54,,,,,,,1.93,1.46,1.59,,,,,,,3
2023-02-14,30.0,15.11,8.23,,,,,,,2.22,1.54,1.24,,,,,,,3
2023-02-15,17.85,11.61,6.58,,,,,,,1.32,1.18,0.99,,,,,,,10
2023-02-16,24.62,14.89,11.37,,,,,,,1.82,1.52,1.72,,,,,,,2
2023-02-17,20.79,17.43,16.79,,,,,,,1.54,1.78,2.54,,,,,,,-5
2023-02-18,50.42,0.0,0.0,,,,,,,3.73,0.0,0.0,,,,,,,-3
2023-02-19,69.73,0.0,0.0,,,,,,,5.16,0.0,0.0,,,,,,,5
2023-02-20,46.45,0.0,0.0,,,,,,,3.44,0.0,0.0,,,,,,,1
2023-02-21,23.84,18.1,14.84,,,,,,,1.76,1.85,2.24,,,,,,,2
2023-02-22,35.55,20.02,18.29,,,,,,,2.63,2.04,2.76,,,,,,,-5
2023-02-23,39.03,20.96,18.66,,,,,,,2.89,2.14,2.82,,,,,,,-4
2023-02-24,27.1,24.09,15.61,,,,,,,2.01,2.46,2.36,,,,,,,-6
2023-02-25,39.34,0.0,0.0,,,,,,,2.91,0.0,0.0,,,,,,,-6
2023-02-26,54.15,0.0,0.0,,,,,,,4.01,0.0,0.0,,,,,,,-2
2023-02-27,27.46,19.1,19.58,,,,,,,2.03,1.95,2.96,,,,,,,-4
2023-02-28,17.32,13.05,8.93,,,,,,,1.28,1.33,1.35,,,,,,,0
2023-03-01,17.53,11.47,9.48,,,,,,,1.3,1.17,1.43,,,,,,,1
2023-03-02,15.17,11.11,9.88,,,,,,,1.12,1.13,1.49,,,,,,,1
2023-03-03,20.01,16.89,9.45,,,,,,,1.48,1.72,1.43,,,,,,,-2
2023-03-04,49.77,0.0,0.0,,,,,,,3.68,0.0,0.0,,,,,,,2
2023-03-05,48.59,0.0,0.0,,,,,,,3.6,0.0,0.0,,,,,,,1
2023-03-06,13.57,15.98,9.18,,,,,,,1.0,1.63,1.39,,,,,,,-1
