# Your daily usage (2022-08-12)
Date,Usage TOU off-peak (kWh),Usage TOU mid-peak (kWh),Usage TOU on-peak (kWh),Usage tier 1 (kWh),Usage tier 2 (kWh),Usage ULO overnight (kWh),Usage ULO off-peak (kWh),Usage ULO mid-peak (kWh),Usage ULO on-peak (kWh),Cost TOU off-peak ($),Cost TOU mid-peak ($),Cost TOU on-peak ($),Cost tier 1 ($),Cost tier 2 ($),Cost ULO overnight ($),Cost ULO off-peak ($),Cost ULO mid-peak ($),Cost ULO on-peak ($),Average temperature (C)
2022-07-08,9.48,4.39,6.03,,,,,,,0.78,0.50,1.03,,,,,,,21
2022-07-09,26.31,0.00,0.00,,,,,,,2.16,0.00,0.00,,,,,,,19
2022-07-10,27.00,0.00,0.00,,,,,,,2.21,0.00,0.00,,,,,,,21
2022-07-11,10.65,5.51,8.62,,,,,,,0.87,0.62,1.47,,,,,,,24
2022-07-12,10.72,4.79,5.22,,,,,,,0.88,0.54,0.89,,,,,,,23
2022-07-13,11.90,5.46,5.55,,,,,,,0.98,0.62,0.94,,,,,,,20
2022-07-14,11.66,6.93,8.20,,,,,,,0.96,0.78,1.39,,,,,,,21
2022-07-15,10.73,7.54,5.99,,,,,,,0.88,0.85,1.02,,,,,,,21
2022-07-16,24.64,0.00,0.00,,,,,,,2.02,0.00,0.00,,,,,,,23
2022-07-17,24.37,0.00,0.00,,,,,,,2.00,0.00,0.00,,,,,,,24
2022-07-18,13.14,5.73,6.55,,,,,,,1.08,0.65,1.11,,,,,,,24
2022-07-19,11.40,4.86,5.71,,,,,,,0.93,0.55,0.97,,,,,,,27
2022-07-20,16.49,4.39,4.53,,,,,,,1.35,0.50,0.77,,,,,,,28
2022-07-21,14.38,5.68,6.74,,,,,,,1.18,0.64,1.15,,,,,,,26
2022-07-22,12.93,7.57,8.38,,,,,,,1.06,0.86,1.42,,,,,,,26
2022-07-23,21.30,0.00,0.00,,,,,,,1.75,0.00,0.00,,,,,,,28
2022-07-24,20.11,0.00,0.00,,,,,,,1.65,0.00,0.00,,,,,,,26
2022-07-25,11.20,4.65,5.98,,,,,,,0.92,0.53,1.02,,,,,,,20
2022-07-26,10.80,6.62,4.98,,,,,,,0.89,0.75,0.85,,,,,,,19
2022-07-27,11.42,4.94,6.41,,,,,,,0.94,0.56,1.09,,,,,,,21
2022-07-28,10.37,5.05,5.77,,,,,,,0.85,0.57,0.98,,,,,,,24
2022-07-29,10.81,5.44,6.66,,,,,,,0.89,0.61,1.13,,,,,,,22
2022-07-30,26.82,0.00,0.00,,,,,,,2.20,0.00,0.00,,,,,,,21
2022-07-31,23.19,0.00,0.00,,,,,,,1.90,0.00,0.00,,,,,,,23
2022-08-01,22.22,0.00,0.00,,,,,,,1.82,0.00,0.00,,,,,,,24
2022-08-02,15.52,5.55,6.88,,,,,,,1.27,0.63,1.17,,,,,,,22
2022-08-03,11.56,6.10,6.11,,,,,,,0.95,0.69,1.04,,,,,,,23
2022-08-04,16.45,5.90,5.74,,,,,,,1.35,0.67,0.98,,,,,,,25
2022-08-05,12.29,9.37,5.28,,,,,,,1.01,1.06,0.90,,,,,,,25
2022-08-06,22.37,0.00,0.00,,,,,,,1.83,0.00,0.00,,,,,,,26
2022-08-07,24.66,0.00,0.00,,,,,,,2.02,0.00,0.00,,,,,,,28
2022-08-08,11.23,7.46,5.63,,,,,,,0.92,0.84,0.96,,,,,,,26
