Water Use (m³),Outside Temperature (°C),Precipitation (mm),Date,Year
1.0,-0.20 C,0.00 mm,2020-01-01,2020
1.0,6.40 C,0.00 mm,2020-01-02,2020
0.5,6.80 C,0.00 mm,2020-01-03,2020
1.0,2.50 C,1.60 mm,2020-01-04,2020
1.0,1.30 C,3.60 mm,2020-01-05,2020
0.5,1.80 C,0.00 mm,2020-01-06,2020
1.0,4.00 C,0.00 mm,2020-01-07,2020
2.0,-0.70 C,2.00 mm,2020-01-08,2020
1.5,2.00 C,0.20 mm,2020-01-09,2020
1.0,7.50 C,1.80 mm,2020-01-10,2020
2.0,11.90 C,59.00 mm,2020-01-11,2020
2.0,1.70 C,17.60 mm,2020-01-12,2020
1.0,1.70 C,0.40 mm,2020-01-13,2020
1.0,2.90 C,0.00 mm,2020-01-14,2020
1.0,4.30 C,0.00 mm,2020-01-15,2020
1.0,1.70 C,0.20 mm,2020-01-16,2020
1.0,-8.00 C,0.00 mm,2020-01-17,2020
1.0,2.50 C,14.40 mm,2020-01-18,2020
1.0,0.40 C,1.60 mm,2020-01-19,2020
2.0,-5.20 C,0.00 mm,2020-01-20,2020
0.5,-2.80 C,0.00 mm,2020-01-21,2020
1.5,0.80 C,0.00 mm,2020-01-22,2020
1.0,2.30 C,0.00 mm,2020-01-23,2020
1.0,3.70 C,18.60 mm,2020-01-24,2020
1.0,3.60 C,8.60 mm,2020-01-25,2020
1.0,3.20 C,1.00 mm,2020-01-26,2020
1.5,1.30 C,0.00 mm,2020-01-27,2020
1.0,1.80 C,0.00 mm,2020-01-28,2020
1.0,-1.90 C,0.00 mm,2020-01-29,2020
1.0,-1.90 C,0.00 mm,2020-01-30,2020
2.5,-0.20 C,0.80 mm,2020-01-31,2020
0.5,1.00 C,1.40 mm,2020-02-01,2020
1.5,2.10 C,4.20 mm,2020-02-02,2020
2.5,5.70 C,0.00 mm,2020-02-03,2020
1.5,2.30 C,0.00 mm,2020-02-04,2020
1.0,-3.00 C,0.60 mm,2020-02-05,2020
1.0,-3.50 C,6.40 mm,2020-02-06,2020
1.0,-4.30 C,1.80 mm,2020-02-07,2020
2.0,-7.10 C,0.00 mm,2020-02-08,2020
1.0,0.60 C,8.40 mm,2020-02-09,2020
0.5,2.90 C,0.20 mm,2020-02-10,2020
