Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
August 1,1.000,30.00 C,3.80 mm
August 2,1.000,28.40 C,37.00 mm
August 3,0.500,24.90 C,26.80 mm
August 4,1.500,24.60 C,10.40 mm
August 5,2.000,23.90 C,0.00 mm
August 6,1.500,23.90 C,0.00 mm
August 7,0.500,25.60 C,0.00 mm
August 8,1.000,27.10 C,0.00 mm
August 9,1.000,30.60 C,0.00 mm
August 10,2.000,32.10 C,0.00 mm
August 11,3.500,28.90 C,0.00 mm
August 12,0.500,29.80 C,0.00 mm
August 13,1.500,28.90 C,0.00 mm
August 14,0.500,28.60 C,0.00 mm
August 15,1.500,27.90 C,0.00 mm
August 16,1.000,25.80 C,1.00 mm
August 17,1.500,27.40 C,4.80 mm
August 18,2.000,25.00 C,0.80 mm
August 19,1.000,23.70 C,0.00 mm
August 20,1.000,27.60 C,0.00 mm
August 21,2.500,30.60 C,0.00 mm
August 22,1.500,31.10 C,0.00 mm
August 23,1.500,31.70 C,0.00 mm
August 24,1.000,32.70 C,0.00 mm
August 25,1.000,28.00 C,0.00 mm
August 26,0.500,21.20 C,4.40 mm
August 27,1.500,30.20 C,0.00 mm
August 28,2.500,24.00 C,0.20 mm
August 29,1.500,27.00 C,1.80 mm
August 30,1.000,23.70 C,0.00 mm
August 31,1.000,25.20 C,0.00 mm
