Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
January 1,1.000,-0.20 C,0.00 mm
January 2,1.000,6.40 C,0.00 mm
January 3,0.500,6.80 C,0.00 mm
January 4,1.000,2.50 C,1.60 mm
January 5,1.000,1.30 C,3.60 mm
January 6,0.500,1.80 C,0.00 mm
January 7,1.000,4.00 C,0.00 mm
January 8,2.000,-0.70 C,2.00 mm
January 9,1.500,2.00 C,0.20 mm
January 10,1.000,7.50 C,1.80 mm
January 11,2.000,11.90 C,59.00 mm
January 12,2.000,1.70 C,17.60 mm
January 13,1.000,1.70 C,0.40 mm
January 14,1.000,2.90 C,0.00 mm
January 15,1.000,4.30 C,0.00 mm
January 16,1.000,1.70 C,0.20 mm
January 17,1.000,-8.00 C,0.00 mm
January 18,1.000,2.50 C,14.40 mm
January 19,1.000,0.40 C,1.60 mm
January 20,2.000,-5.20 C,0.00 mm
January 21,0.500,-2.80 C,0.00 mm
January 22,1.500,0.80 C,0.00 mm
January 23,1.000,2.30 C,0.00 mm
January 24,1.000,3.70 C,18.60 mm
January 25,1.000,3.60 C,8.60 mm
January 26,1.000,3.20 C,1.00 mm
January 27,1.500,1.30 C,0.00 mm
January 28,1.000,1.80 C,0.00 mm
January 29,1.000,-1.90 C,0.00 mm
January 30,1.000,-1.90 C,0.00 mm
January 31,2.500,-0.20 C,0.80 mm
