Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
July 1,4.500,29.90 C,0.00 mm
July 2,3.500,35.50 C,0.00 mm
July 3,3.000,32.40 C,0.00 mm
July 4,3.500,32.00 C,0.00 mm
July 5,3.000,34.00 C,0.00 mm
July 6,3.500,31.30 C,0.00 mm
July 7,5.000,34.00 C,0.00 mm
July 8,2.500,34.60 C,6.20 mm
July 9,2.000,34.30 C,0.00 mm
July 10,2.000,32.30 C,16.60 mm
July 11,1.000,28.40 C,21.00 mm
July 12,1.000,27.90 C,0.00 mm
July 13,1.500,25.30 C,1.00 mm
July 14,0.500,26.80 C,0.00 mm
July 15,2.000,28.20 C,0.00 mm
July 16,1.000,25.60 C,2.80 mm
July 17,1.000,31.40 C,0.00 mm
July 18,2.000,33.20 C,0.00 mm
July 19,2.500,31.20 C,9.00 mm
July 20,1.500,29.60 C,0.00 mm
July 21,0.500,26.20 C,0.00 mm
July 22,1.000,26.70 C,9.60 mm
July 23,0.500,27.60 C,0.00 mm
July 24,1.000,27.60 C,0.00 mm
July 25,1.500,30.00 C,0.00 mm
July 26,2.500,33.50 C,0.00 mm
July 27,0.500,32.70 C,0.80 mm
July 28,2.000,31.10 C,0.00 mm
July 29,0.500,30.70 C,0.60 mm
July 30,4.000,28.10 C,0.00 mm
July 31,1.000,28.80 C,0.00 mm
