Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
June 1,1.000,23.70 C,0.00 mm
June 2,1.500,27.20 C,10.40 mm
June 3,0.500,27.40 C,5.40 mm
June 4,1.500,30.00 C,0.00 mm
June 5,1.000,28.30 C,2.60 mm
June 6,1.000,26.10 C,0.00 mm
June 7,1.000,20.90 C,0.00 mm
June 8,1.000,22.80 C,0.00 mm
June 9,1.000,31.60 C,0.00 mm
June 10,1.000,32.10 C,24.40 mm
June 11,1.000,24.30 C,0.00 mm
June 12,2.000,17.90 C,0.00 mm
June 13,1.000,18.70 C,0.00 mm
June 14,1.000,17.60 C,0.00 mm
June 15,0.500,21.00 C,0.00 mm
June 16,1.000,24.40 C,0.00 mm
June 17,3.000,27.50 C,0.00 mm
June 18,0.500,29.30 C,0.00 mm
June 19,2.500,29.70 C,0.00 mm
June 20,1.000,30.60 C,0.00 mm
June 21,1.000,30.80 C,0.00 mm
June 22,2.000,30.30 C,0.20 mm
June 23,0.500,25.50 C,4.00 mm
June 24,2.000,23.40 C,0.00 mm
June 25,0.500,26.90 C,0.00 mm
June 26,1.000,30.20 C,0.00 mm
June 27,0.500,29.40 C,2.80 mm
June 28,2.500,29.30 C,0.00 mm
June 29,1.500,32.10 C,0.00 mm
June 30,4.000,27.50 C,0.00 mm
