Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
December 1,0.500,5.00 C,0.00 mm
December 2,1.000,10.50 C,1.00 mm
December 3,0.500,1.50 C,0.00 mm
December 4,1.000,5.20 C,0.00 mm
December 5,0.500,4.10 C,17.60 mm
December 6,0.500,11.20 C,2.00 mm
December 7,1.000,-1.60 C,0.20 mm
December 8,1.000,-1.00 C,2.20 mm
December 9,0.500,0.00 C,1.80 mm
December 10,0.500,5.60 C,0.00 mm
December 11,1.000,17.90 C,21.60 mm
December 12,0.500,6.90 C,0.00 mm
December 13,0.500,9.30 C,0.00 mm
December 14,0.500,6.80 C,0.00 mm
December 15,1.000,12.90 C,0.60 mm
December 16,0.500,17.10 C,0.00 mm
December 17,1.000,5.20 C,0.00 mm
December 18,0.000,0.30 C,8.20 mm
December 19,1.000,0.00 C,0.00 mm
December 20,1.000,0.00 C,0.00 mm
December 21,0.500,3.40 C,0.00 mm
December 22,1.000,3.50 C,0.60 mm
December 23,0.500,-0.50 C,4.40 mm
December 24,1.000,2.80 C,0.20 mm
December 25,1.000,7.00 C,3.60 mm
December 26,1.000,3.20 C,0.00 mm
December 27,0.500,0.10 C,3.60 mm
December 28,1.000,2.30 C,0.20 mm
December 29,0.000,2.20 C,0.20 mm
December 30,0.500,2.20 C,0.00 mm
December 31,0.000,,
