Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
March 1,1.000,5.40 C,0.00 mm
March 2,1.000,0.20 C,0.00 mm
March 3,1.500,7.20 C,0.00 mm
March 4,1.500,0.80 C,0.00 mm
March 5,1.000,1.60 C,0.00 mm
March 6,1.000,-0.20 C,0.00 mm
March 7,1.000,-0.40 C,0.00 mm
March 8,0.500,9.60 C,0.20 mm
March 9,0.500,10.60 C,0.00 mm
March 10,0.500,15.30 C,0.00 mm
March 11,1.000,19.30 C,2.00 mm
March 12,0.500,11.30 C,0.00 mm
March 13,0.500,5.60 C,0.00 mm
March 14,1.000,3.50 C,0.00 mm
March 15,0.500,-1.00 C,0.00 mm
March 16,1.000,3.50 C,0.00 mm
March 17,0.500,9.00 C,0.00 mm
March 18,0.500,6.80 C,0.40 mm
March 19,1.000,3.70 C,0.00 mm
March 20,0.500,14.90 C,0.00 mm
March 21,0.500,14.90 C,0.00 mm
March 22,0.500,16.10 C,0.00 mm
March 23,0.500,15.50 C,0.00 mm
March 24,1.000,17.60 C,0.80 mm
March 25,1.000,21.50 C,1.00 mm
March 26,0.000,10.50 C,34.60 mm
March 27,1.000,8.20 C,0.20 mm
March 28,0.500,10.10 C,6.20 mm
March 29,0.500,7.10 C,0.00 mm
March 30,1.000,20.30 C,0.00 mm
March 31,1.000,14.70 C,0.00 mm
