Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
November 1,1.000,10.40 C,0.00 mm
November 2,0.500,8.90 C,0.00 mm
November 3,1.000,7.60 C,0.00 mm
November 4,1.500,8.50 C,0.00 mm
November 5,0.500,10.20 C,0.00 mm
November 6,1.000,11.60 C,0.00 mm
November 7,0.500,16.40 C,0.00 mm
November 8,0.500,19.10 C,0.00 mm
November 9,1.000,14.00 C,2.60 mm
November 10,0.500,13.00 C,0.00 mm
November 11,1.000,13.50 C,0.60 mm
November 12,1.000,12.40 C,0.40 mm
November 13,1.000,7.60 C,0.00 mm
November 14,0.500,4.80 C,8.20 mm
November 15,1.000,5.80 C,0.40 mm
November 16,0.500,5.90 C,0.00 mm
November 17,0.500,16.90 C,0.60 mm
November 18,0.500,15.10 C,0.20 mm
November 19,0.500,6.10 C,0.00 mm
November 20,1.000,5.90 C,0.00 mm
November 21,1.000,8.00 C,5.00 mm
November 22,0.500,3.80 C,0.00 mm
November 23,0.500,3.90 C,0.00 mm
November 24,0.500,8.70 C,0.60 mm
November 25,1.000,7.50 C,5.80 mm
November 26,0.500,3.60 C,0.00 mm
November 27,0.500,1.40 C,0.20 mm
November 28,1.000,-1.00 C,11.00 mm
November 29,0.500,0.40 C,0.40 mm
November 30,0.500,2.80 C,2.20 mm
