Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
February 1,0.500,4.70 C,0.00 mm
February 2,1.000,4.60 C,11.40 mm
February 3,1.000,-3.00 C,4.20 mm
February 4,0.500,-10.50 C,0.40 mm
February 5,1.000,-7.20 C,0.00 mm
February 6,0.500,-0.20 C,0.00 mm
February 7,1.000,,
February 8,1.000,-0.40 C,0.00 mm
February 9,0.500,6.00 C,0.00 mm
February 10,0.500,2.80 C,0.00 mm
February 11,1.000,3.50 C,5.00 mm
February 12,1.000,2.50 C,1.80 mm
February 13,1.500,-9.20 C,0.20 mm
February 14,1.000,-9.60 C,0.00 mm
February 15,0.500,-3.30 C,0.00 mm
February 16,1.000,10.70 C,0.20 mm
February 17,1.000,7.20 C,36.20 mm
February 18,0.500,-4.80 C,5.00 mm
February 19,1.000,-2.00 C,4.20 mm
February 20,1.000,6.90 C,0.00 mm
February 21,0.500,6.20 C,0.00 mm
February 22,1.000,9.20 C,9.40 mm
February 23,0.500,0.00 C,0.00 mm
February 24,1.000,-5.20 C,0.00 mm
February 25,0.500,-5.50 C,4.20 mm
February 26,1.000,-2.20 C,0.00 mm
February 27,1.000,0.40 C,0.40 mm
February 28,0.500,-3.80 C,0.00 mm
