Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
May 1,0.500,11.40 C,2.00 mm
May 2,0.500,13.40 C,0.20 mm
May 3,1.000,0.00 C,13.00 mm
May 4,0.000,15.70 C,8.60 mm
May 5,0.500,14.80 C,0.00 mm
May 6,0.500,16.40 C,0.00 mm
May 7,1.000,13.90 C,0.00 mm
May 8,0.500,15.90 C,0.00 mm
May 9,0.500,19.70 C,0.00 mm
May 10,1.000,22.30 C,0.00 mm
May 11,2.000,24.50 C,0.00 mm
May 12,0.500,26.40 C,0.00 mm
May 13,1.000,26.80 C,0.00 mm
May 14,0.500,26.50 C,0.00 mm
May 15,1.000,29.20 C,0.00 mm
May 16,0.500,0.00 C,10.80 mm
May 17,1.000,16.90 C,0.00 mm
May 18,0.500,14.70 C,0.00 mm
May 19,0.500,22.50 C,0.20 mm
May 20,0.500,23.80 C,0.00 mm
May 21,1.000,29.90 C,6.20 mm
May 22,0.500,17.70 C,0.40 mm
May 23,1.000,16.60 C,0.00 mm
May 24,1.000,19.20 C,0.00 mm
May 25,0.500,20.10 C,0.20 mm
May 26,1.000,26.90 C,2.40 mm
May 27,0.500,24.00 C,1.80 mm
May 28,0.500,22.20 C,1.00 mm
May 29,1.500,24.50 C,0.00 mm
May 30,1.000,31.90 C,0.00 mm
May 31,2.000,32.80 C,0.00 mm
