Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
September 1,1.000,24.20 C,0.00 mm
September 2,1.000,27.90 C,0.00 mm
September 3,1.000,29.70 C,0.00 mm
September 4,0.000,20.30 C,0.40 mm
September 5,1.000,21.50 C,0.00 mm
September 6,1.500,23.70 C,0.00 mm
September 7,1.000,24.30 C,0.00 mm
September 8,1.000,26.70 C,0.00 mm
September 9,1.500,26.70 C,0.00 mm
September 10,1.500,28.30 C,0.00 mm
September 11,1.500,24.40 C,2.00 mm
September 12,1.000,24.10 C,5.20 mm
September 13,1.000,21.60 C,0.40 mm
September 14,0.500,25.30 C,0.00 mm
September 15,1.000,19.00 C,0.00 mm
September 16,1.000,24.70 C,0.00 mm
September 17,1.000,24.60 C,0.00 mm
September 18,1.000,0.00 C,3.60 mm
September 19,0.500,27.80 C,0.20 mm
September 20,1.000,26.20 C,0.00 mm
September 21,1.000,29.50 C,0.00 mm
September 22,1.000,17.30 C,0.20 mm
September 23,1.000,16.50 C,0.00 mm
September 24,1.500,18.60 C,0.00 mm
September 25,1.000,18.60 C,23.20 mm
September 26,1.000,17.40 C,2.40 mm
September 27,1.000,17.80 C,1.80 mm
September 28,0.500,13.60 C,0.00 mm
September 29,1.500,16.20 C,0.00 mm
September 30,0.500,17.60 C,0.00 mm
