Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
April 1,0.500,14.60 C,17.20 mm
April 2,1.500,3.60 C,0.00 mm
April 3,1.000,14.10 C,0.00 mm
April 4,0.500,10.90 C,1.80 mm
April 5,1.000,15.00 C,24.40 mm
April 6,1.000,14.50 C,0.00 mm
April 7,1.000,6.50 C,0.00 mm
April 8,1.000,6.40 C,0.00 mm
April 9,1.000,10.60 C,0.00 mm
April 10,1.000,20.30 C,0.00 mm
April 11,1.000,23.80 C,0.00 mm
April 12,1.000,26.70 C,0.00 mm
April 13,1.000,29.40 C,0.00 mm
April 14,1.000,26.90 C,0.00 mm
April 15,1.000,24.10 C,0.00 mm
April 16,1.000,24.50 C,2.80 mm
April 17,1.000,9.30 C,1.20 mm
April 18,1.000,5.70 C,0.60 mm
April 19,1.500,9.60 C,0.00 mm
April 20,1.500,10.40 C,0.40 mm
April 21,1.500,20.60 C,3.40 mm
April 22,1.500,11.40 C,23.40 mm
April 23,1.000,8.30 C,0.20 mm
April 24,1.500,9.40 C,0.00 mm
April 25,1.000,11.30 C,0.00 mm
April 26,1.000,9.10 C,0.40 mm
April 27,1.500,12.40 C,0.00 mm
April 28,1.000,12.60 C,9.80 mm
April 29,1.000,10.30 C,3.40 mm
April 30,1.500,11.30 C,12.80 mm
