Day of Month,Water Use (m³),Outside Temperature (°C),Precipitation (mm)
October 1,3.000,26.90 C,0.00 mm
October 2,2.000,27.30 C,0.00 mm
October 3,3.500,30.40 C,0.00 mm
October 4,2.000,27.90 C,0.00 mm
October 5,1.500,25.90 C,6.40 mm
October 6,1.000,23.10 C,6.80 mm
October 7,2.000,15.10 C,0.60 mm
October 8,2.000,11.10 C,1.40 mm
October 9,1.000,11.40 C,0.00 mm
October 10,1.500,13.60 C,3.20 mm
October 11,1.500,16.30 C,0.00 mm
October 12,1.000,16.00 C,0.00 mm
October 13,1.500,14.90 C,0.00 mm
October 14,1.000,13.60 C,0.00 mm
October 15,1.500,10.60 C,0.00 mm
October 16,1.000,13.20 C,0.00 mm
October 17,2.000,15.90 C,0.00 mm
October 18,1.000,14.70 C,0.00 mm
October 19,1.000,16.80 C,0.20 mm
October 20,1.500,14.40 C,4.40 mm
October 21,1.500,12.30 C,0.60 mm
October 22,1.500,11.40 C,0.80 mm
October 23,1.500,14.20 C,0.00 mm
October 24,1.000,20.50 C,0.00 mm
October 25,1.000,20.80 C,1.60 mm
October 26,1.500,19.00 C,6.60 mm
October 27,1.000,23.30 C,0.00 mm
October 28,2.000,18.90 C,0.20 mm
October 29,2.000,7.40 C,2.90 mm
October 30,0.500,6.90 C,4.40 mm
October 31,2.000,6.60 C,0.00 mm
